chain,short_coin_type
ailayer,0x0a59
ancient8,0xaaaa
Aptos,0x027d
Arbitrum,0x2329
Aurora,0x0a0a
Avalanche,0x2328
b2,0x00df
Base,0x2105
bb,0x1771
Beam,0x0504
Berachain,0x38de
bevm2,0x2ced
Bitcoin,0x0000
Bitlayer,0x10c5
Blast,0x1331
BNB Chain,0x02ca
Bob,0xed88
Celo,0xce10
ckb,0x0135
Coinweb,0x08ae
Conflux,0x01f7
Core,0x045c
corn,0x6f40
Crypto Chain,0x018a
duck,0x15a9
EOS,0x00c2
Ethereum,0x003c
Evmos,0x11bc
exsat,0x1c20
Fantom,0x03ef
Flow,0x021b
Gnosis,0x02bc
Harmony,0x03ff
hash,0x03ee
hemi,0xa867
inevm,0x09dd
iotex,0x1251
Kaia,0x2019
Kroma,0x00ff
Linea,0xe708
Lisk,0x046f
Manta,0x0263
Mantle,0x1388
Map,0x58f8
Merlin,0x6868
Metis,0x0440
Mode,0x868b
Moonbeam,0x0504
Moonriver,0x0505
Morph,0x0b02
Nautilus,0x56ce
Near,0x018d
Neox,0xba93
opBNB,0x00cc
Optimism,0x0266
Polygon POS,0x03c6
Polygon zkEVM,0x044d
rsk,0x001e
Scroll,0x2750
Sei,0x0531
SKALE Calypso,0x6c62
SKALE Europa,0x9296
SKALE Nebula,0xb4b1
Solana,0x01f5
Soneium,0x074c
Sonic,0x0092
Sui,0x0310
Taiko,0x28c5
Taker,0x0465
Terra,0x014a
Thorchain,0x03a3
Thunder,0x006c
Ton,0x025f
Tron,0x00c3
xlayer,0x00c4
zeta,0x1b58
zkFair,0xa70e
zklink,0x5cc4
zircuit,0xbf04
zkSync Era,0x0324